iter	RMSE
585	30236.77115
586	30236.0686
587	30235.36111
588	30235.17144
589	30235.0447
590	30234.13412
591	30233.51497
592	30232.53979
593	30231.86485
594	30230.52395
595	30228.95264
596	30228.80667
597	30228.67648
598	30227.80364
599	30226.50982
600601	30183.236601602	30182.511602	30224.36179
603	30223.51498
60605	30180.141360606	30179.93327
607	30179.260460608	30178.487260609	30178.29806
610	30177.80464
611	30177.61308
612	30177.15318
613	30176.29561
614	30175.65446
615	30174.86701
616	30173.05876
617	30172.19977
618	30171.76769
619	30170.72463
620	30170.54107
621	30169.8651
622	30169.58622	623	30169.29623	624	30168.77624	625	30168.28216
626	30167.76314
627	30167.62627	30206.65784
628629	30166.679629630	30166.235630	30204.68073
631	30204.38815
632633	30164.33563634	30163.699363635	30163.02176
636	30162.75837
637	30161.45742
638	30160.24009
639	30159.53299
640	30159.02643
641	30158.88733
642	30158.77844
643	30158.18868
644	30157.76348
645	30157.62753
646	30157.19396
647	30156.4087
648	30155.66097
649	30155.50113
650	30154.51529
651	30153.77024
652	30153.3524
653	30152.29506
654	30151.71552
655	30151.00482
656	30149.68382
657	30149.52641
658	30148.70308
659	30147.57171
660	30146.96849
661	30145.20349
662	30144.03196
663	30143.88188
664	30142.87831
665	30142.20998
666	30141.38524
667	30140.912776668	30140.06841668	30180.21118
669	30179.53745
6671	30138.35532671	30178.02341
672	30176.42786
673	30176.32667
674	30175.08687
675	30174.11342
676	30173.78251
677	30172.74105
678	30171.35372
679	30170.66812
680	30169.89915
681	30169.03427
682	30168.68127
683	30168.17593
684	30166.82705
685	30165.48451
686	30164.87793
687	30164.10797
688	30163.48815
689	30163.17642
690	30162.34437
691	30161.55516
692	30160.98377
693	30160.65562
694	30159.80164
695	30159.09881
696	30159.0133
697	30158.6625
698	30157.61479
699	30157.15989
700	30156.52301
701	30156.2308
702	30156.15251
703	30155.91162
704	30155.78208
705	30155.73503
706	30155.38251
707	30154.79375
708	30154.05053
709	30153.00263
710	30152.84201
711	30152.30694
712	30151.55722
